quant,tempo,inicial_vetor
1000,0.0033669471740722656,ordenado
1000,0.003712177276611328,invertido_ordenado
1000,0.0038514137268066406,aleatorio
2000,0.00838470458984375,ordenado
2000,0.008824586868286133,invertido_ordenado
2000,0.009206771850585938,aleatorio
3000,0.014919757843017578,ordenado
3000,0.01311039924621582,invertido_ordenado
3000,0.012984514236450195,aleatorio
4000,0.01842498779296875,ordenado
4000,0.019457578659057617,invertido_ordenado
4000,0.01830911636352539,aleatorio
5000,0.02412700653076172,ordenado
5000,0.024991273880004883,invertido_ordenado
5000,0.02539348602294922,aleatorio
6000,0.029562711715698242,ordenado
6000,0.02999401092529297,invertido_ordenado
6000,0.03094339370727539,aleatorio
7000,0.035376548767089844,ordenado
7000,0.03336167335510254,invertido_ordenado
7000,0.037663936614990234,aleatorio
8000,0.04348349571228027,ordenado
8000,0.04248237609863281,invertido_ordenado
8000,0.04385995864868164,aleatorio
9000,0.04806208610534668,ordenado
9000,0.048830270767211914,invertido_ordenado
9000,0.05023932456970215,aleatorio
10000,0.053078413009643555,ordenado
10000,0.05471014976501465,invertido_ordenado
10000,0.05773472785949707,aleatorio
20000,0.1228334903717041,ordenado
20000,0.12860965728759766,invertido_ordenado
20000,0.13083481788635254,aleatorio
50000,0.4410123825073242,ordenado
50000,0.44570326805114746,invertido_ordenado
50000,0.47877001762390137,aleatorio
100000,1.3583180904388428,ordenado
100000,1.3817329406738281,invertido_ordenado
100000,1.4808738231658936,aleatorio
