quant,tempo,inicial_vetor
1000,0.031111717224121094,ordenado
1000,0.02497267723083496,invertido_ordenado
1000,0.026814937591552734,aleatorio
2000,0.0954742431640625,ordenado
2000,0.09792304039001465,invertido_ordenado
2000,0.0979006290435791,aleatorio
3000,0.21361351013183594,ordenado
3000,0.21891403198242188,invertido_ordenado
3000,0.22542023658752441,aleatorio
4000,0.37911486625671387,ordenado
4000,0.3895387649536133,invertido_ordenado
4000,0.396348237991333,aleatorio
5000,0.5840051174163818,ordenado
5000,0.6249849796295166,invertido_ordenado
5000,0.6151108741760254,aleatorio
6000,0.8412134647369385,ordenado
6000,0.8947432041168213,invertido_ordenado
6000,0.8865096569061279,aleatorio
7000,1.1418707370758057,ordenado
7000,1.3923377990722656,invertido_ordenado
7000,1.210935354232788,aleatorio
8000,1.493140697479248,ordenado
8000,1.5892798900604248,invertido_ordenado
8000,1.5865974426269531,aleatorio
9000,1.870678424835205,ordenado
9000,1.9784533977508545,invertido_ordenado
9000,2.020200729370117,aleatorio
10000,2.336097478866577,ordenado
10000,2.446352958679199,invertido_ordenado
10000,2.493527889251709,aleatorio
20000,9.28756594657898,ordenado
20000,9.749425411224365,invertido_ordenado
20000,10.082679033279419,aleatorio
50000,58.184810161590576,ordenado
50000,60.976900577545166,invertido_ordenado
50000,63.791646003723145,aleatorio
100000,238.16095066070557,ordenado
100000,239.07567501068115,invertido_ordenado
100000,255.73792266845703,aleatorio
